요일,제목,작가,장르,평점,연령등급,태그
FRIDAY,천하제일 대사형,YooN / 북미혼,무협,9.92161,15세 이용가,"['무협/사극', '사이다', '참교육', '환골탈태', '판무', '복수극', '먼치킨', '소설원작']"
FRIDAY,아카데미에서 살아남기,기린그린 / 코리타,판타지,9.92149,15세 이용가,"['판타지', '하렘', '상태창', '생존', '왕족/귀족', '아카데미물', '서바이벌', '게임판타지', '빙의', '소설원작']"
FRIDAY,어쩌다보니 천생연분,꿀타래 / 담초,순정,9.96233,15세 이용가,"['로맨스', '순진남', '러브코미디', '설렘폭발', '결혼생활', '헌신남', '순정남', '명랑녀', '다정남', '소꿉친구', '로맨스코미디', '2021 지상최대공모전', '선결혼후연애']"
FRIDAY,로맨스 저주,다원,스릴러,9.82875,18세 이용가,"['스릴러', '고자극스릴러', '자극적인', '악역이주인공', '드라마', '아이돌연애', '계략녀', '하이퍼리얼리즘', '복수극', '공감성수치', '성인웹툰']"
FRIDAY,1초,시니 / 광운,드라마,9.97645,전체연령가,"['드라마', '눈물샘자극', '현대', '이능력', '청춘', '직업드라마', '서스펜스', '성장드라마']"
FRIDAY,A.I. 닥터,ZAINO / 쿠큐 / 한산이가,드라마,9.97591,전체연령가,"['드라마', '사이다', '현대판타지', '현대', '직업드라마', 'sf', '의학드라마', '소설원작']"
FRIDAY,천중용문,김언 / 묵지 / 군주,무협,9.37655,전체연령가,"['무협/사극', '사이다', '무협/사극', '먼치킨', '소설원작']"
FRIDAY,열렙전사 3부,김세훈,액션,9.72231,15세 이용가,"['액션', '열혈', '게임', '소년물', '모험', '성장물', '고인물', '게임판타지', '먼치킨']"
FRIDAY,문제적 왕자님,선인장 / 솔체,순정,9.96027,15세 이용가,"['로맨스', '로맨스코미디', '로판', '소설원작']"
FRIDAY,돈구멍,박성현,스릴러,9.88925,15세 이용가,"['스릴러', '사이다', '고자극스릴러', '자극적인', '시리어스', '피카레스크', '범죄', '하이퍼리얼리즘', '머니게임']"
FRIDAY,죽지 않으려면,파래 / 임진국,액션,9.89062,15세 이용가,"['액션', '사이다', '학원액션', '성장물', '환골탈태', '격투기', '블루스트링', '학원물', '복수극', '느와르']"
